"","Method","Participant","Day","Metric","Trial","Value"
"336","TRAD","P28","D1","Net Peak Vertical Force [N]","Trial 3",1448.03411401808
"337","SHORT","P11","D2","Net Force at 100ms [N]","Trial 1",334.108053709846
"338","SHORT","P15","D2","Net Force at 100ms [N]","Trial 2",644.893541884609
"339","SHORT","P10","D2","Net Force at 100ms [N]","Trial 3",237.978068666998
"340","SHORT","P31","D2","Net Force at 100ms [N]","Trial 4",489.673634720966
"341","SHORT","P29","D2","Net Force at 100ms [N]","Trial 5",223.645130098611
"342","SHORT","P15","D2","Net Peak Vertical Force [N]","Trial 1",1627.95877379961
"343","SHORT","P22","D2","Net Peak Vertical Force [N]","Trial 2",1803.37246104968
"344","SHORT","P8","D2","Net Peak Vertical Force [N]","Trial 3",1719.15386492852
"345","SHORT","P21","D2","Net Peak Vertical Force [N]","Trial 4",1716.77680028928
"346","SHORT","P24","D2","Net Peak Vertical Force [N]","Trial 5",1541.29370574872
"347","TRAD","P24","D2","Net Force at 100ms [N]","Trial 1",174.732001281343
"348","TRAD","P5","D2","Net Force at 100ms [N]","Trial 2",250.734673416009
"349","TRAD","P20","D2","Net Force at 100ms [N]","Trial 3",59.6278797734063
"350","TRAD","P26","D2","Net Peak Vertical Force [N]","Trial 1",1771.17937778756
"351","TRAD","P18","D2","Net Peak Vertical Force [N]","Trial 2",1636.7529215524
"352","TRAD","P28","D2","Net Peak Vertical Force [N]","Trial 3",1676.34961922849
"353","SHORT","P7","D1","Net Force at 100ms [N]","Trial 1",237.5365086779
"354","SHORT","P1","D1","Net Force at 100ms [N]","Trial 2",701.714173280634
"355","SHORT","P16","D1","Net Force at 100ms [N]","Trial 3",469.731860624067
"356","SHORT","P23","D1","Net Force at 100ms [N]","Trial 4",616.698712907452
"357","SHORT","P30","D1","Net Force at 100ms [N]","Trial 5",501.641143407673
"358","SHORT","P8","D1","Net Peak Vertical Force [N]","Trial 1",1875.54421114996
"359","SHORT","P25","D1","Net Peak Vertical Force [N]","Trial 2",2295.76383903846
"360","SHORT","P9","D1","Net Peak Vertical Force [N]","Trial 3",2430.78302334454
"361","SHORT","P31","D1","Net Peak Vertical Force [N]","Trial 4",2265.97852042294
"362","SHORT","P4","D1","Net Peak Vertical Force [N]","Trial 5",2231.14541318268
"363","TRAD","P30","D1","Net Force at 100ms [N]","Trial 1",197.661236078851
"364","TRAD","P24","D1","Net Force at 100ms [N]","Trial 2",280.272289193887
"365","TRAD","P2","D1","Net Force at 100ms [N]","Trial 3",350.704602597095
"366","TRAD","P15","D1","Net Peak Vertical Force [N]","Trial 1",2783.9174530087
"367","TRAD","P26","D1","Net Peak Vertical Force [N]","Trial 2",2677.71619396135
"368","TRAD","P16","D1","Net Peak Vertical Force [N]","Trial 3",2503.02776655583
"369","SHORT","P8","D2","Net Force at 100ms [N]","Trial 1",432.463020942546
"370","SHORT","P18","D2","Net Force at 100ms [N]","Trial 2",401.051440143585
"371","SHORT","P26","D2","Net Force at 100ms [N]","Trial 3",344.505379850697
"372","SHORT","P18","D2","Net Force at 100ms [N]","Trial 4",694.731998134637
"373","SHORT","P24","D2","Net Force at 100ms [N]","Trial 5",414.340796150407
"374","SHORT","P13","D2","Net Peak Vertical Force [N]","Trial 1",1693.28573648334
"375","SHORT","P7","D2","Net Peak Vertical Force [N]","Trial 2",2022.28111393051
"376","SHORT","P17","D2","Net Peak Vertical Force [N]","Trial 3",1917.50586650483
"377","SHORT","P23","D2","Net Peak Vertical Force [N]","Trial 4",1947.19721763274
"378","SHORT","P13","D2","Net Peak Vertical Force [N]","Trial 5",1773.12278219294
"379","TRAD","P30","D2","Net Force at 100ms [N]","Trial 1",331.855651600473
"380","TRAD","P24","D2","Net Force at 100ms [N]","Trial 2",320.638650171692
"381","TRAD","P31","D2","Net Force at 100ms [N]","Trial 3",197.927545758989
"382","TRAD","P12","D2","Net Peak Vertical Force [N]","Trial 1",2189.01036625393
"383","TRAD","P20","D2","Net Peak Vertical Force [N]","Trial 2",2304.56063567027
"384","TRAD","P1","D2","Net Peak Vertical Force [N]","Trial 3",2146.73808477083
"385","SHORT","P24","D1","Net Force at 100ms [N]","Trial 1",1037.15760655352
"386","SHORT","P13","D1","Net Force at 100ms [N]","Trial 2",974.963691677805
"387","SHORT","P20","D1","Net Force at 100ms [N]","Trial 3",1012.41798922555
"388","SHORT","P5","D1","Net Force at 100ms [N]","Trial 4",933.976934727049
"389","SHORT","P18","D1","Net Force at 100ms [N]","Trial 5",1155.2108172209
"390","SHORT","P9","D1","Net Peak Vertical Force [N]","Trial 1",2481.18070746423
"391","SHORT","P13","D1","Net Peak Vertical Force [N]","Trial 2",2392.21139600687
"392","SHORT","P6","D1","Net Peak Vertical Force [N]","Trial 3",2442.61511419639
"393","SHORT","P21","D1","Net Peak Vertical Force [N]","Trial 4",2960.60761133088
"394","SHORT","P28","D1","Net Peak Vertical Force [N]","Trial 5",2454.02367302058
"395","TRAD","P3","D1","Net Force at 100ms [N]","Trial 1",955.81851804927
"396","TRAD","P13","D1","Net Force at 100ms [N]","Trial 2",814.548443126492
"397","TRAD","P19","D1","Net Force at 100ms [N]","Trial 3",1007.14866830339
"398","TRAD","P18","D1","Net Peak Vertical Force [N]","Trial 1",3351.28033586126
"399","TRAD","P14","D1","Net Peak Vertical Force [N]","Trial 2",3498.58212184906
"400","TRAD","P22","D1","Net Peak Vertical Force [N]","Trial 3",3184.04717466338
"401","SHORT","P5","D2","Net Force at 100ms [N]","Trial 1",895.95609091362
"402","SHORT","P22","D2","Net Force at 100ms [N]","Trial 2",883.944598991051
"403","SHORT","P4","D2","Net Force at 100ms [N]","Trial 3",1133.18591231946
"404","SHORT","P20","D2","Net Force at 100ms [N]","Trial 4",1175.70242186934
"405","SHORT","P24","D2","Net Force at 100ms [N]","Trial 5",890.240881392918
"406","SHORT","P23","D2","Net Peak Vertical Force [N]","Trial 1",2463.96854640217
"407","SHORT","P4","D2","Net Peak Vertical Force [N]","Trial 2",2291.42280067438
"408","SHORT","P2","D2","Net Peak Vertical Force [N]","Trial 3",2685.61831123787
"409","SHORT","P7","D2","Net Peak Vertical Force [N]","Trial 4",2943.70888674837
"410","SHORT","P32","D2","Net Peak Vertical Force [N]","Trial 5",2588.82628037408
"411","TRAD","P1","D2","Net Force at 100ms [N]","Trial 1",1031.26097983913
"412","TRAD","P8","D2","Net Force at 100ms [N]","Trial 2",983.870294583542
"413","TRAD","P26","D2","Net Force at 100ms [N]","Trial 3",786.257995653432
"414","TRAD","P31","D2","Net Peak Vertical Force [N]","Trial 1",3113.93075165804
"415","TRAD","P7","D2","Net Peak Vertical Force [N]","Trial 2",3346.54374882085
"416","TRAD","P22","D2","Net Peak Vertical Force [N]","Trial 3",2947.36026903517
"417","SHORT","P9","D1","Net Force at 100ms [N]","Trial 1",502.510258515412
"418","SHORT","P28","D1","Net Force at 100ms [N]","Trial 2",398.751580118295
"419","SHORT","P25","D1","Net Force at 100ms [N]","Trial 3",425.065490251454
"420","SHORT","P19","D1","Net Force at 100ms [N]","Trial 4",387.453599653533
"421","SHORT","P28","D1","Net Force at 100ms [N]","Trial 5",437.202014158107
"422","SHORT","P19","D1","Net Peak Vertical Force [N]","Trial 1",1264.43381987396
"423","SHORT","P11","D1","Net Peak Vertical Force [N]","Trial 2",1318.67668427043
"424","SHORT","P27","D1","Net Peak Vertical Force [N]","Trial 3",1214.45450862581
"425","SHORT","P5","D1","Net Peak Vertical Force [N]","Trial 4",1140.50201603491
"426","SHORT","P12","D1","Net Peak Vertical Force [N]","Trial 5",1202.46735261176
"427","TRAD","P30","D1","Net Force at 100ms [N]","Trial 1",121.672912224662
"428","TRAD","P26","D1","Net Force at 100ms [N]","Trial 2",387.322574424092
"429","TRAD","P31","D1","Net Force at 100ms [N]","Trial 3",431.118931051344
"430","TRAD","P10","D1","Net Peak Vertical Force [N]","Trial 1",1408.7168186747
"431","TRAD","P28","D1","Net Peak Vertical Force [N]","Trial 2",1301.85773780034
"432","TRAD","P6","D1","Net Peak Vertical Force [N]","Trial 3",1316.37023232887
"433","SHORT","P28","D2","Net Force at 100ms [N]","Trial 1",364.513696551323
"434","SHORT","P18","D2","Net Force at 100ms [N]","Trial 2",299.644350603595
"435","SHORT","P5","D2","Net Force at 100ms [N]","Trial 3",273.800609745877
"436","SHORT","P17","D2","Net Force at 100ms [N]","Trial 4",266.317109774891
"437","SHORT","P24","D2","Net Force at 100ms [N]","Trial 5",498.437452473864
"438","SHORT","P6","D2","Net Peak Vertical Force [N]","Trial 1",1265.80740530854
"439","SHORT","P21","D2","Net Peak Vertical Force [N]","Trial 2",1382.8038129067
"440","SHORT","P21","D2","Net Peak Vertical Force [N]","Trial 3",1242.06598273106
"441","SHORT","P22","D2","Net Peak Vertical Force [N]","Trial 4",1212.87528030435
"442","SHORT","P29","D2","Net Peak Vertical Force [N]","Trial 5",1297.58692309
"443","TRAD","P23","D2","Net Force at 100ms [N]","Trial 1",353.316808940144
"444","TRAD","P32","D2","Net Force at 100ms [N]","Trial 2",449.636171387509
"445","TRAD","P19","D2","Net Force at 100ms [N]","Trial 3",371.953344175592
"446","TRAD","P14","D2","Net Peak Vertical Force [N]","Trial 1",1146.04566988284
"447","TRAD","P17","D2","Net Peak Vertical Force [N]","Trial 2",1289.74964111298
"448","TRAD","P31","D2","Net Peak Vertical Force [N]","Trial 3",1192.10936379852
"449","SHORT","P27","D1","Net Force at 100ms [N]","Trial 1",558.843312929012
"450","SHORT","P13","D1","Net Force at 100ms [N]","Trial 2",751.006899193302
"451","SHORT","P29","D1","Net Force at 100ms [N]","Trial 3",490.366808284586
"452","SHORT","P17","D1","Net Force at 100ms [N]","Trial 4",504.157057741098
"453","SHORT","P20","D1","Net Force at 100ms [N]","Trial 5",679.01457916298
"454","SHORT","P14","D1","Net Peak Vertical Force [N]","Trial 1",1366.54110038253
"455","SHORT","P9","D1","Net Peak Vertical Force [N]","Trial 2",1341.95514442991
"456","SHORT","P15","D1","Net Peak Vertical Force [N]","Trial 3",1476.88471108675
"457","SHORT","P20","D1","Net Peak Vertical Force [N]","Trial 4",1322.89053877979
"458","SHORT","P22","D1","Net Peak Vertical Force [N]","Trial 5",1310.91479610777
"459","TRAD","P12","D1","Net Force at 100ms [N]","Trial 1",552.735828388855
"460","TRAD","P10","D1","Net Force at 100ms [N]","Trial 2",355.011949301138
"461","TRAD","P26","D1","Net Force at 100ms [N]","Trial 3",460.728867931757
"462","TRAD","P15","D1","Net Peak Vertical Force [N]","Trial 1",1578.85603478011
"463","TRAD","P21","D1","Net Peak Vertical Force [N]","Trial 2",1556.84491485469
"464","TRAD","P1","D1","Net Peak Vertical Force [N]","Trial 3",1406.14079723097
"465","SHORT","P26","D2","Net Force at 100ms [N]","Trial 1",556.56440106486
"466","SHORT","P16","D2","Net Force at 100ms [N]","Trial 2",610.474798584077
"467","SHORT","P30","D2","Net Force at 100ms [N]","Trial 3",433.349026914965
"468","SHORT","P7","D2","Net Force at 100ms [N]","Trial 4",553.336372766457
"469","SHORT","P11","D2","Net Force at 100ms [N]","Trial 5",578.955317540886
"470","SHORT","P15","D2","Net Peak Vertical Force [N]","Trial 1",1242.96585005298
"471","SHORT","P11","D2","Net Peak Vertical Force [N]","Trial 2",1175.10106446291
"472","SHORT","P16","D2","Net Peak Vertical Force [N]","Trial 3",1464.80380238369
"473","SHORT","P27","D2","Net Peak Vertical Force [N]","Trial 4",1342.34559897399
"474","SHORT","P6","D2","Net Peak Vertical Force [N]","Trial 5",1336.05072114421
"475","TRAD","P18","D2","Net Force at 100ms [N]","Trial 1",600.667259798478
"476","TRAD","P24","D2","Net Force at 100ms [N]","Trial 2",539.875504137762
"477","TRAD","P32","D2","Net Force at 100ms [N]","Trial 3",525.754258095659
"478","TRAD","P6","D2","Net Peak Vertical Force [N]","Trial 1",1384.43268997883
"479","TRAD","P16","D2","Net Peak Vertical Force [N]","Trial 2",1477.00166352852
"480","TRAD","P4","D2","Net Peak Vertical Force [N]","Trial 3",1211.88210150944
"481","SHORT","P7","D1","Net Force at 100ms [N]","Trial 1",619.666379794478
"482","SHORT","P12","D1","Net Force at 100ms [N]","Trial 2",604.979527395964
"483","SHORT","P29","D1","Net Force at 100ms [N]","Trial 3",533.278165998962
"484","SHORT","P10","D1","Net Force at 100ms [N]","Trial 4",618.08281330429
"485","SHORT","P14","D1","Net Force at 100ms [N]","Trial 5",467.874559501093
"486","SHORT","P11","D1","Net Peak Vertical Force [N]","Trial 1",2243.97685525473
"487","SHORT","P27","D1","Net Peak Vertical Force [N]","Trial 2",2262.68241104074
"488","SHORT","P19","D1","Net Peak Vertical Force [N]","Trial 3",2443.07381141414
"489","SHORT","P9","D1","Net Peak Vertical Force [N]","Trial 4",2137.86899113804
"490","SHORT","P16","D1","Net Peak Vertical Force [N]","Trial 5",2220.42245866079
"491","TRAD","P2","D1","Net Force at 100ms [N]","Trial 1",120.165048490744
"492","TRAD","P32","D1","Net Force at 100ms [N]","Trial 2",354.135924561229
"493","TRAD","P2","D1","Net Force at 100ms [N]","Trial 3",404.75458315853
"494","TRAD","P14","D1","Net Peak Vertical Force [N]","Trial 1",2258.455742992
"495","TRAD","P26","D1","Net Peak Vertical Force [N]","Trial 2",2695.14721371369
"496","TRAD","P10","D1","Net Peak Vertical Force [N]","Trial 3",2729.77681700373
"497","SHORT","P29","D2","Net Force at 100ms [N]","Trial 1",649.102739764471
"498","SHORT","P1","D2","Net Force at 100ms [N]","Trial 2",587.92747908663
"499","SHORT","P4","D2","Net Force at 100ms [N]","Trial 3",826.627170470171
"500","SHORT","P30","D2","Net Force at 100ms [N]","Trial 4",452.768038692372
"501","SHORT","P15","D2","Net Force at 100ms [N]","Trial 5",553.111004043929
"502","SHORT","P9","D2","Net Peak Vertical Force [N]","Trial 1",2270.08175894115
"503","SHORT","P11","D2","Net Peak Vertical Force [N]","Trial 2",2133.31813616725
"504","SHORT","P28","D2","Net Peak Vertical Force [N]","Trial 3",2005.31260399399
"505","SHORT","P1","D2","Net Peak Vertical Force [N]","Trial 4",2271.82082067244
"506","SHORT","P9","D2","Net Peak Vertical Force [N]","Trial 5",2374.78428566102
"507","TRAD","P14","D2","Net Force at 100ms [N]","Trial 1",310.703396344604
"508","TRAD","P6","D2","Net Force at 100ms [N]","Trial 2",264.907183258468
"509","TRAD","P15","D2","Net Force at 100ms [N]","Trial 3",428.458456937224
"510","TRAD","P5","D2","Net Peak Vertical Force [N]","Trial 1",2388.12353374669
"511","TRAD","P31","D2","Net Peak Vertical Force [N]","Trial 2",2472.12394411387
"512","TRAD","P4","D2","Net Peak Vertical Force [N]","Trial 3",2813.87692792714
"513","SHORT","P21","D1","Net Force at 100ms [N]","Trial 1",818.491551484074
"514","SHORT","P29","D1","Net Force at 100ms [N]","Trial 2",757.904208649322
"515","SHORT","P30","D1","Net Force at 100ms [N]","Trial 3",455.792892410886
"516","SHORT","P27","D1","Net Force at 100ms [N]","Trial 4",686.324205273343
"517","SHORT","P6","D1","Net Force at 100ms [N]","Trial 5",428.876949462108
"518","SHORT","P16","D1","Net Peak Vertical Force [N]","Trial 1",1717.65512866667
"519","SHORT","P8","D1","Net Peak Vertical Force [N]","Trial 2",1774.21083995425
"520","SHORT","P18","D1","Net Peak Vertical Force [N]","Trial 3",1742.2259829835
"521","SHORT","P18","D1","Net Peak Vertical Force [N]","Trial 4",2113.5972061072
"522","SHORT","P6","D1","Net Peak Vertical Force [N]","Trial 5",1783.42280608229
"523","TRAD","P5","D1","Net Force at 100ms [N]","Trial 1",109.025634603668
"524","TRAD","P8","D1","Net Force at 100ms [N]","Trial 2",236.886553896172
"525","TRAD","P6","D1","Net Force at 100ms [N]","Trial 3",450.628425550181
"526","TRAD","P22","D1","Net Peak Vertical Force [N]","Trial 1",1813.68645649571
"527","TRAD","P13","D1","Net Peak Vertical Force [N]","Trial 2",1990.01906544548
"528","TRAD","P23","D1","Net Peak Vertical Force [N]","Trial 3",1895.26642148732
"529","SHORT","P24","D2","Net Force at 100ms [N]","Trial 1",273.035847595427
"530","SHORT","P19","D2","Net Force at 100ms [N]","Trial 2",532.74831560133
"531","SHORT","P27","D2","Net Force at 100ms [N]","Trial 3",246.167441667989
"532","SHORT","P28","D2","Net Force at 100ms [N]","Trial 4",574.659672370926
"533","SHORT","P7","D2","Net Force at 100ms [N]","Trial 5",216.679943688214
"534","SHORT","P22","D2","Net Peak Vertical Force [N]","Trial 1",2090.82065738672
"535","SHORT","P4","D2","Net Peak Vertical Force [N]","Trial 2",1789.02329474613
"536","SHORT","P3","D2","Net Peak Vertical Force [N]","Trial 3",1893.11091482965
"537","SHORT","P15","D2","Net Peak Vertical Force [N]","Trial 4",2121.97915163934
"538","SHORT","P5","D2","Net Peak Vertical Force [N]","Trial 5",2205.93453364074
"539","TRAD","P21","D2","Net Force at 100ms [N]","Trial 1",695.551773065329
"540","TRAD","P22","D2","Net Force at 100ms [N]","Trial 2",151.802836820483
"541","TRAD","P20","D2","Net Peak Vertical Force [N]","Trial 1",1980.13502649236
"542","TRAD","P24","D2","Net Peak Vertical Force [N]","Trial 2",2286.90514599616
"543","TRAD","P1","D2","Net Force at 100ms [N]","Trial 3",362.890810499154
"544","TRAD","P11","D2","Net Peak Vertical Force [N]","Trial 3",2024.89956317302
"545","SHORT","P10","D1","Net Force at 100ms [N]","Trial 1",832.037908008695
"546","SHORT","P19","D1","Net Force at 100ms [N]","Trial 2",447.789870142098
"547","SHORT","P13","D1","Net Force at 100ms [N]","Trial 3",590.914112647483
"548","SHORT","P20","D1","Net Force at 100ms [N]","Trial 4",588.420565846562
"549","SHORT","P32","D1","Net Force at 100ms [N]","Trial 5",688.199876017403
"550","SHORT","P12","D1","Net Peak Vertical Force [N]","Trial 1",1482.86408793172
"551","SHORT","P29","D1","Net Peak Vertical Force [N]","Trial 2",1521.08418391608
"552","SHORT","P19","D1","Net Peak Vertical Force [N]","Trial 3",2134.29218279896
"553","SHORT","P5","D1","Net Peak Vertical Force [N]","Trial 4",1649.97840152569
"554","SHORT","P16","D1","Net Peak Vertical Force [N]","Trial 5",1590.06807544623
"555","TRAD","P31","D1","Net Force at 100ms [N]","Trial 1",267.253718888154
"556","TRAD","P6","D1","Net Force at 100ms [N]","Trial 2",457.651227048691
"557","TRAD","P3","D1","Net Force at 100ms [N]","Trial 3",452.078478540247
"558","TRAD","P23","D1","Net Peak Vertical Force [N]","Trial 1",1883.12607309967
"559","TRAD","P26","D1","Net Peak Vertical Force [N]","Trial 2",2204.0353859067
"560","TRAD","P19","D1","Net Peak Vertical Force [N]","Trial 3",2218.92198620364
"561","SHORT","P5","D2","Net Force at 100ms [N]","Trial 1",527.226292041689
"562","SHORT","P31","D2","Net Force at 100ms [N]","Trial 2",589.285524770943
"563","SHORT","P15","D2","Net Force at 100ms [N]","Trial 3",559.09005622887
"564","SHORT","P8","D2","Net Force at 100ms [N]","Trial 4",351.153973561339
"565","SHORT","P9","D2","Net Force at 100ms [N]","Trial 5",263.302440613043
"566","SHORT","P13","D2","Net Peak Vertical Force [N]","Trial 1",1725.62345592426
"567","SHORT","P27","D2","Net Peak Vertical Force [N]","Trial 2",1816.67093574069
"568","SHORT","P9","D2","Net Peak Vertical Force [N]","Trial 3",1993.39834620608
"569","SHORT","P29","D2","Net Peak Vertical Force [N]","Trial 4",1828.23721695989
"570","SHORT","P3","D2","Net Peak Vertical Force [N]","Trial 5",2048.09082153719
"571","TRAD","P30","D2","Net Force at 100ms [N]","Trial 1",256.842141493736
"572","TRAD","P32","D2","Net Force at 100ms [N]","Trial 2",480.020174404234
"573","TRAD","P22","D2","Net Force at 100ms [N]","Trial 3",374.491234491859
"574","TRAD","P24","D2","Net Peak Vertical Force [N]","Trial 1",2203.31029959256
"575","TRAD","P12","D2","Net Peak Vertical Force [N]","Trial 2",2201.40489132479
"576","TRAD","P10","D2","Net Peak Vertical Force [N]","Trial 3",1854.15600939803
"577","SHORT","P21","D1","Net Force at 100ms [N]","Trial 1",451.056791048311
"578","SHORT","P4","D1","Net Force at 100ms [N]","Trial 2",170.228415658604
"579","SHORT","P14","D1","Net Force at 100ms [N]","Trial 3",497.82360341521
"580","SHORT","P20","D1","Net Force at 100ms [N]","Trial 4",472.550188345648
"581","SHORT","P16","D1","Net Force at 100ms [N]","Trial 5",291.024298523087
"582","SHORT","P9","D1","Net Peak Vertical Force [N]","Trial 1",1674.48745963788
"583","SHORT","P23","D1","Net Peak Vertical Force [N]","Trial 2",1703.72074807892
"584","SHORT","P18","D1","Net Peak Vertical Force [N]","Trial 3",1702.51687907483
"585","SHORT","P12","D1","Net Peak Vertical Force [N]","Trial 4",1758.91480636178
"586","SHORT","P12","D1","Net Peak Vertical Force [N]","Trial 5",1619.76627571927
"587","TRAD","P32","D1","Net Force at 100ms [N]","Trial 1",388.230220897123
"588","TRAD","P19","D1","Net Force at 100ms [N]","Trial 2",366.322085659951
"589","TRAD","P20","D1","Net Force at 100ms [N]","Trial 3",471.861708979122
"590","TRAD","P2","D1","Net Peak Vertical Force [N]","Trial 1",1190.95094281845
"591","TRAD","P14","D1","Net Peak Vertical Force [N]","Trial 2",1033.57425525784
"592","TRAD","P25","D1","Net Peak Vertical Force [N]","Trial 3",1190.82283490561
"593","SHORT","P15","D2","Net Force at 100ms [N]","Trial 1",528.294331063144
"594","SHORT","P30","D2","Net Force at 100ms [N]","Trial 2",118.138066444732
"595","SHORT","P22","D2","Net Force at 100ms [N]","Trial 3",347.222710264614
"596","SHORT","P15","D2","Net Force at 100ms [N]","Trial 4",289.288606148073
"597","SHORT","P14","D2","Net Force at 100ms [N]","Trial 5",418.334954531491
"598","SHORT","P1","D2","Net Peak Vertical Force [N]","Trial 1",1114.81609797394
"599","SHORT","P17","D2","Net Peak Vertical Force [N]","Trial 2",1266.616739731
"600","SHORT","P5","D2","Net Peak Vertical Force [N]","Trial 3",1265.12599402014
"601","SHORT","P21","D2","Net Peak Vertical Force [N]","Trial 4",1386.85963826422
"602","SHORT","P19","D2","Net Peak Vertical Force [N]","Trial 5",1222.18287665178
"603","TRAD","P7","D2","Net Force at 100ms [N]","Trial 1",259.537087998725
"604","TRAD","P16","D2","Net Force at 100ms [N]","Trial 2",347.302969620097
"605","TRAD","P27","D2","Net Force at 100ms [N]","Trial 3",326.05437018536
"606","TRAD","P32","D2","Net Peak Vertical Force [N]","Trial 1",924.97204831196
"607","TRAD","P4","D2","Net Peak Vertical Force [N]","Trial 2",1319.06894976143
"608","TRAD","P12","D2","Net Peak Vertical Force [N]","Trial 3",1174.83280062075
"609","SHORT","P13","D1","Net Force at 100ms [N]","Trial 1",297.067344112182
"610","SHORT","P21","D1","Net Force at 100ms [N]","Trial 2",434.067700186418
"611","SHORT","P14","D1","Net Force at 100ms [N]","Trial 3",532.830523467809
"612","SHORT","P7","D1","Net Force at 100ms [N]","Trial 4",558.603347099852
"613","SHORT","P6","D1","Net Force at 100ms [N]","Trial 5",487.910210926086
"614","SHORT","P19","D1","Net Peak Vertical Force [N]","Trial 1",1928.34571380448
"615","SHORT","P4","D1","Net Peak Vertical Force [N]","Trial 2",2089.34286001297
"616","SHORT","P29","D1","Net Peak Vertical Force [N]","Trial 3",2020.57405074229
"617","SHORT","P21","D1","Net Peak Vertical Force [N]","Trial 4",2131.20893665231
"618","SHORT","P7","D1","Net Peak Vertical Force [N]","Trial 5",2103.10595245706
"619","TRAD","P10","D1","Net Force at 100ms [N]","Trial 1",490.393776734173
"620","TRAD","P32","D1","Net Force at 100ms [N]","Trial 2",653.54840395432
"621","TRAD","P29","D1","Net Force at 100ms [N]","Trial 3",701.622862518439
"622","TRAD","P1","D1","Net Peak Vertical Force [N]","Trial 1",2060.61758278459
"623","TRAD","P29","D1","Net Peak Vertical Force [N]","Trial 2",2116.91976878084
"624","TRAD","P3","D1","Net Peak Vertical Force [N]","Trial 3",2231.789671735
"625","SHORT","P25","D2","Net Force at 100ms [N]","Trial 1",376.522719342727
"626","SHORT","P24","D2","Net Force at 100ms [N]","Trial 2",490.929329236038
"627","SHORT","P30","D2","Net Force at 100ms [N]","Trial 3",479.551456400659
"628","SHORT","P27","D2","Net Force at 100ms [N]","Trial 4",127.464766564779
"629","SHORT","P22","D2","Net Force at 100ms [N]","Trial 5",642.697006879235
"630","SHORT","P4","D2","Net Peak Vertical Force [N]","Trial 1",1725.51146461163
"631","SHORT","P31","D2","Net Peak Vertical Force [N]","Trial 2",1677.95286852792
"632","SHORT","P24","D2","Net Peak Vertical Force [N]","Trial 3",1832.05668217773
"633","SHORT","P25","D2","Net Peak Vertical Force [N]","Trial 4",1664.2296577631
"634","SHORT","P32","D2","Net Peak Vertical Force [N]","Trial 5",1989.33897465421
"635","TRAD","P2","D2","Net Force at 100ms [N]","Trial 1",458.461912879348
"636","TRAD","P27","D2","Net Force at 100ms [N]","Trial 2",241.536884034332
"637","TRAD","P23","D2","Net Force at 100ms [N]","Trial 3",398.83696251316
"638","TRAD","P6","D2","Net Peak Vertical Force [N]","Trial 1",1966.98307084562
"639","TRAD","P11","D2","Net Peak Vertical Force [N]","Trial 2",2107.89160331897
"640","TRAD","P11","D2","Net Peak Vertical Force [N]","Trial 3",2234.56037612036
"641","SHORT","P3","D1","Net Force at 100ms [N]","Trial 1",217.132723667705
"642","SHORT","P32","D1","Net Force at 100ms [N]","Trial 2",346.686716485769
"643","SHORT","P28","D1","Net Force at 100ms [N]","Trial 3",484.609583389293
"644","SHORT","P26","D1","Net Force at 100ms [N]","Trial 4",370.505933039961
"645","SHORT","P1","D1","Net Force at 100ms [N]","Trial 5",315.232183233835
"646","SHORT","P18","D1","Net Peak Vertical Force [N]","Trial 1",1319.53645435832
"647","SHORT","P2","D1","Net Peak Vertical Force [N]","Trial 2",1611.82912762091
"648","SHORT","P22","D1","Net Peak Vertical Force [N]","Trial 3",1778.46473377477
"649","SHORT","P30","D1","Net Peak Vertical Force [N]","Trial 4",1703.59686937644
"650","SHORT","P22","D1","Net Peak Vertical Force [N]","Trial 5",1782.93612485398
"651","TRAD","P29","D1","Net Force at 100ms [N]","Trial 1",407.173618208244
"652","TRAD","P1","D1","Net Force at 100ms [N]","Trial 2",424.150180602074
"653","TRAD","P3","D1","Net Force at 100ms [N]","Trial 3",349.687825991958
"654","TRAD","P17","D1","Net Peak Vertical Force [N]","Trial 1",2200.36844776515
"655","TRAD","P27","D1","Net Peak Vertical Force [N]","Trial 2",2191.61666254699
"656","TRAD","P20","D1","Net Peak Vertical Force [N]","Trial 3",2073.81702910606
"657","SHORT","P1","D2","Net Force at 100ms [N]","Trial 1",246.947809465416
"658","SHORT","P23","D2","Net Force at 100ms [N]","Trial 2",392.86425127415
"659","SHORT","P25","D2","Net Force at 100ms [N]","Trial 3",440.453804021981
"660","SHORT","P31","D2","Net Force at 100ms [N]","Trial 4",295.169144435786
"661","SHORT","P7","D2","Net Force at 100ms [N]","Trial 5",398.124282597192
"662","SHORT","P24","D2","Net Peak Vertical Force [N]","Trial 1",1940.63678210741
"663","SHORT","P28","D2","Net Peak Vertical Force [N]","Trial 2",1729.37329819752
"664","SHORT","P29","D2","Net Peak Vertical Force [N]","Trial 3",2003.26551038073
"665","SHORT","P7","D2","Net Peak Vertical Force [N]","Trial 4",1625.91168794427
"666","SHORT","P15","D2","Net Peak Vertical Force [N]","Trial 5",1695.78302643211
"667","TRAD","P1","D2","Net Force at 100ms [N]","Trial 1",429.513864100445
"668","TRAD","P16","D2","Net Force at 100ms [N]","Trial 2",428.51211048332
"669","TRAD","P11","D2","Net Force at 100ms [N]","Trial 3",264.735574842431
"670","TRAD","P10","D2","Net Peak Vertical Force [N]","Trial 1",2180.43175063133
"671","TRAD","P4","D2","Net Peak Vertical Force [N]","Trial 2",2252.56216187775
